ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id,yhat
0.45064297,-1.0618021,1.5621688,0.5572691999999999,0.13061084,-1.4153178999999998,0.0038457166,-1.3917364,0.16039592,-0.14376032,0.76936847,1.7548022,6,0
0.47545555,-1.0640867,1.2565697,0.7916554,0.13062419,-1.1247652,0.29087466,-1.1051975,0.1614539,-0.14217184,0.77012694,1.7560081000000003,6,0
0.5054193,-1.0655221,0.98462456,0.96935743,0.13054849,-0.8811133,0.500104,-0.8615611999999999,0.16208717,-0.13998924,0.7720929,1.7574599999999998,6,0
0.5380571,-1.0658113,0.7898228,1.0974429,0.13048403,-0.7060689,0.6500674,-0.68697566,0.16289675,-0.13774343,0.77441853,1.7585003,6,0
0.5589048000000001,-1.0648761,0.65004534,1.1881008,0.13043079,-0.58121365,0.7575689,-0.56190234,0.1632451,-0.13501965,0.7759533000000001,1.7586580000000005,6,0
0.5865338999999999,-1.0638027,0.54984397,1.2531264,0.13039419,-0.49173537,0.83451974,-0.47227076,0.16361889,-0.13298035,0.7776352,1.7582203,6,0
0.6108998000000001,-1.0608832,0.47775277,1.3002251,0.13036869999999998,-0.42765585,0.88968986,-0.40806097,0.16454187,-0.13055284,0.77956796,1.7583841,6,0
0.6303895,-1.0552965,0.42610607,1.333989,0.13034941,-0.38172907,0.9292451,-0.36204588,0.16505405,-0.12255315,0.78127635,1.7574365,6,0
0.64130926,-1.0505878999999998,0.38930807,1.3595575,0.13033554,-0.3483364,0.95753205,-0.32905367,0.16554414,-0.10871156,0.7835163,1.7548845000000002,6,0
0.6313652,-1.0471804,0.36284778,1.37699,0.13032470000000002,-0.32486385,0.9778351,-0.3054376,0.16614376,-0.09682148,0.78656685,1.7501183,6,0
0.60494864,-1.0455453,0.3438143,1.3895909,0.13031533,-0.30804318,0.99241483,-0.28851020000000005,0.16645846,-0.08715594,0.7889847,1.745418,6,0
0.557592,-1.0436009,0.32995814,1.3984051000000002,0.13031083,-0.29601353,1.0027905,-0.27636585,0.16683803,-0.07880936599999999,0.7899843000000001,1.7389653000000005,6,0
0.5185834,-1.0416363000000002,0.32006618,1.4042526000000002,0.13030899,-0.28737470000000004,1.0102597,-0.26767870000000005,0.16685148,-0.07282889,0.79215246,1.7299353,6,0
0.4946933,-1.0407329,0.3131961,1.4099406,0.13030595,-0.2807137,1.0156438,-0.2614655,0.16739345,-0.06904776,0.7955113,1.7217756999999998,6,0
0.47757545,-1.0400854,0.30802247,1.4119878,0.13030396,-0.27649274,1.0194415,-0.2569798,0.16787824,-0.06752739,0.7978281,1.715415,6,0
